Log started 18.06.2017-18_17_01
####################################################
Q6 | 0 | Маркер уничтожен из конечной очереди | 
T1 - F | 10 | Переход завершил работу | Маркер #5
T2 - T | 10 | Маркер иниц. срабатывание перехода | Маркер #5
T4 - T | 10 | Маркер иниц. срабатывание перехода | Маркер #5
Q6 | 10 | Маркер уничтожен из конечной очереди | 
G1 | 11 | Сгенерирован маркер | Маркер #6
Q5 | 11 | Маркер покинул очередь | Маркер #5
P6 | 11 | Позиция маркирована | Маркер #5
T4 - T | 11 | Переход завершил работу | Маркер #5
Q2 | 11 | Маркер покинул очередь | Маркер #5
P5 | 11 | Позиция маркирована | Маркер #5
T2 - T | 11 | Переход завершил работу | Маркер #5
T1 - F | 11 | Маркер иниц. срабатывание перехода | Маркер #6
T5 - J | 11 | Маркер иниц. срабатывание перехода | Маркер #5
Q6 | 11 | Маркер уничтожен из конечной очереди | 
Q6 | 12 | Позиция маркирована | Маркер #5
P6 | 12 | Маркер покинул позицию | Маркер #5
P5 | 12 | Маркер покинул позицию | Маркер #5
T5 - J | 12 | Переход завершил работу | Маркер #5
G1 | 12 | Маркер покинул генератор | Маркер #6
Q2 | 12 | Позиция маркирована | Маркер #6
Q5 | 12 | Позиция маркирована | Маркер #6
T1 - F | 12 | Переход завершил работу | Маркер #6
T2 - T | 12 | Маркер иниц. срабатывание перехода | Маркер #6
T4 - T | 12 | Маркер иниц. срабатывание перехода | Маркер #6
Q6 | 12 | Маркер уничтожен из конечной очереди | 
G1 | 13 | Сгенерирован маркер | Маркер #7
Q5 | 13 | Маркер покинул очередь | Маркер #6
P6 | 13 | Позиция маркирована | Маркер #6
T4 - T | 13 | Переход завершил работу | Маркер #6
Q2 | 13 | Маркер покинул очередь | Маркер #6
P5 | 13 | Позиция маркирована | Маркер #6
T2 - T | 13 | Переход завершил работу | Маркер #6
T1 - F | 13 | Маркер иниц. срабатывание перехода | Маркер #7
T5 - J | 13 | Маркер иниц. срабатывание перехода | Маркер #6
Q6 | 13 | Маркер уничтожен из конечной очереди | 
Q6 | 14 | Позиция маркирована | Маркер #6
P6 | 14 | Маркер покинул позицию | Маркер #6
P5 | 14 | Маркер покинул позицию | Маркер #6
T5 - J | 14 | Переход завершил работу | Маркер #6
G1 | 14 | Маркер покинул генератор | Маркер #7
Q2 | 14 | Позиция маркирована | Маркер #7
Q5 | 14 | Позиция маркирована | Маркер #7
T1 - F | 14 | Переход завершил работу | Маркер #7
T2 - T | 14 | Маркер иниц. срабатывание перехода | Маркер #7
T4 - T | 14 | Маркер иниц. срабатывание перехода | Маркер #7
Q6 | 14 | Маркер уничтожен из конечной очереди | 
G1 | 15 | Сгенерирован маркер | Маркер #8
Q5 | 15 | Маркер покинул очередь | Маркер #7
P6 | 15 | Позиция маркирована | Маркер #7
T4 - T | 15 | Переход завершил работу | Маркер #7
Q2 | 15 | Маркер покинул очередь | Маркер #7
P5 | 15 | Позиция маркирована | Маркер #7
T2 - T | 15 | Переход завершил работу | Маркер #7
T1 - F | 15 | Маркер иниц. срабатывание перехода | Маркер #8
T5 - J | 15 | Маркер иниц. срабатывание перехода | Маркер #7
Q6 | 15 | Маркер уничтожен из конечной очереди | 
Q6 | 16 | Позиция маркирована | Маркер #7
P6 | 16 | Маркер покинул позицию | Маркер #7
P5 | 16 | Маркер покинул позицию | Маркер #7
T5 - J | 16 | Переход завершил работу | Маркер #7
G1 | 16 | Маркер покинул генератор | Маркер #8
Q2 | 16 | Позиция маркирована | Маркер #8
Q5 | 16 | Позиция маркирована | Маркер #8
T1 - F | 16 | Переход завершил работу | Маркер #8
T2 - T | 16 | Маркер иниц. срабатывание перехода | Маркер #8
T4 - T | 16 | Маркер иниц. срабатывание перехода | Маркер #8
Q6 | 16 | Маркер уничтожен из конечной очереди | 
G1 | 17 | Сгенерирован маркер | Маркер #9
Q5 | 17 | Маркер покинул очередь | Маркер #8
P6 | 17 | Позиция маркирована | Маркер #8
T4 - T | 17 | Переход завершил работу | Маркер #8
Q2 | 17 | Маркер покинул очередь | Маркер #8
P5 | 17 | Позиция маркирована | Маркер #8
T2 - T | 17 | Переход завершил работу | Маркер #8
T1 - F | 17 | Маркер иниц. срабатывание перехода | Маркер #9
T5 - J | 17 | Маркер иниц. срабатывание перехода | Маркер #8
Q6 | 17 | Маркер уничтожен из конечной очереди | 
Q6 | 18 | Позиция маркирована | Маркер #8
P6 | 18 | Маркер покинул позицию | Маркер #8
P5 | 18 | Маркер покинул позицию | Маркер #8
T5 - J | 18 | Переход завершил работу | Маркер #8
G1 | 18 | Маркер покинул генератор | Маркер #9
Q2 | 18 | Позиция маркирована | Маркер #9
Q5 | 18 | Позиция маркирована | Маркер #9
T1 - F | 18 | Переход завершил работу | Маркер #9
T2 - T | 18 | Маркер иниц. срабатывание перехода | Маркер #9
T4 - T | 18 | Маркер иниц. срабатывание перехода | Маркер #9
Q6 | 18 | Маркер уничтожен из конечной очереди | 
G1 | 19 | Сгенерирован маркер | Маркер #10
Q5 | 19 | Маркер покинул очередь | Маркер #9
P6 | 19 | Позиция маркирована | Маркер #9
T4 - T | 19 | Переход завершил работу | Маркер #9
Q2 | 19 | Маркер покинул очередь | Маркер #9
P5 | 19 | Позиция маркирована | Маркер #9
T2 - T | 19 | Переход завершил работу | Маркер #9
T1 - F | 19 | Маркер иниц. срабатывание перехода | Маркер #10
T5 - J | 19 | Маркер иниц. срабатывание перехода | Маркер #9
Q6 | 19 | Маркер уничтожен из конечной очереди | 
Q6 | 20 | Позиция маркирована | Маркер #9
P6 | 20 | Маркер покинул позицию | Маркер #9
P5 | 20 | Маркер покинул позицию | Маркер #9
T5 - J | 20 | Переход завершил работу | Маркер #9
G1 | 20 | Маркер покинул генератор | Маркер #10
Q2 | 20 | Позиция маркирована | Маркер #10
Q5 | 20 | Позиция маркирована | Маркер #10
T1 - F | 20 | Переход завершил работу | Маркер #10
T2 - T | 20 | Маркер иниц. срабатывание перехода | Маркер #10
T4 - T | 20 | Маркер иниц. срабатывание перехода | Маркер #10
Q6 | 20 | Маркер уничтожен из конечной очереди | 
G1 | 21 | Сгенерирован маркер | Маркер #11
Q5 | 21 | Маркер покинул очередь | Маркер #10
P6 | 21 | Позиция маркирована | Маркер #10
T4 - T | 21 | Переход завершил работу | Маркер #10
Q2 | 21 | Маркер покинул очередь | Маркер #10
P5 | 21 | Позиция маркирована | Маркер #10
T2 - T | 21 | Переход завершил работу | Маркер #10
T1 - F | 21 | Маркер иниц. срабатывание перехода | Маркер #11
T5 - J | 21 | Маркер иниц. срабатывание перехода | Маркер #10
